TripId	HVLINE	Trip TimeStamp	Trip RunNumber	Trip LB	Stable Zero	Ramp Up	Recovery TimeStamp	Recovery RunNumber	Recovery LB	Stable Beams	Fill Number	Num CollBunches	Solenoid	Toroid	Module	Channel	Det	Side	Phi Wedge	SubPhi Wedge	Eta Sector	Electrode Side	Map	Powered Electrodes	HVLINE Status
383	78007	2013-02-06 06:43:19	218898	184	-1	196	9999-12-31 23:00:00	0	0	Y	3533	296	ON	ON	78	7	HEC	A	29	0	2	PAD1	9>24-ID=AF22	16	current
382	78007	2013-02-06 04:22:53	218898	30	-1	31	2013-02-06 04:28:10	218898	37	N	3533	0	ON	ON	78	7	HEC	A	29	0	2	PAD1	9>24-ID=AF22	16	current
381	78007	2013-02-05 17:19:33	0	0	-1	0	2013-02-05 17:24:36	0	0	N	3530	0	ON	ON	78	7	HEC	A	29	0	2	PAD1	9>24-ID=AF22	16	current
380	240011	2013-01-24 10:31:38	218157	30	-1	30	2013-01-24 10:32:17	218157	30	N	3487	1	ON	ON	240	11	EMB	C	5	-1	4	L	0>31	32	current
379	224014	2013-01-23 12:27:22	218048	611	721	-1	2013-01-23 21:18:06	218086	5	Y	3485	296	ON	ON	224	14	EMB	A	13	-1	7	L	0>31	32	current
377	250006	2013-01-20 01:50:14	217907	380	-1	443	2013-01-20 02:49:50	217907	445	N	3470	5	ON	ON	250	6	EMB	C	8	0	7	H	32>63	32	current
378	248006	2013-01-20 01:50:14	217907	380	-1	466	2013-01-20 03:10:22	217907	468	N	3470	5	ON	ON	248	6	EMB	C	8	0	7	L	32>63	32	current
376	161003	2013-01-20 01:11:15	217907	341	-1	341	2013-01-20 01:12:09	217907	341	N	3470	5	ON	ON	161	3	HEC	C	23	0	3	PAD1	25>32-ID=CR26	8	current
375	64007	2013-01-19 11:20:11	217906	14	-1	15	2013-01-19 11:23:08	217906	17	N	3469	0	ON	ON	64	7	HEC	A	1	0	2	PAD1	9>24-ID=AF21	16	current
374	74002	2013-01-18 11:17:14	0	-1	-1	-1	2013-01-18 11:22:17	0	-1	N	3468	0	ON	ON	74	2	HEC	A	25	0	1	EST1	1>8-ID=CF20	8	current
369	307000	2013-01-12 20:13:08	217369	357	357	-1	9999-12-31 23:00:00	0	-1	N	3461	0	OFF	RAMP	307	0	EMB	A	12	0	1	L	32>63	32	current
370	307001	2013-01-12 20:13:08	217369	357	357	-1	9999-12-31 23:00:00	0	-1	N	3461	0	OFF	RAMP	307	1	EMB	A	12	0	1	H	32>63	32	current
371	308003	2013-01-12 20:13:08	217369	357	357	-1	9999-12-31 23:00:00	0	-1	N	3461	0	OFF	RAMP	308	3	EMB	C	5	0	5	B	32>63	32	current
372	309002	2013-01-12 20:13:08	217369	357	357	-1	9999-12-31 23:00:00	0	-1	N	3461	0	OFF	RAMP	309	2	EMB	C	12	0	1	L	32>63	32	current
373	309004	2013-01-12 20:13:08	217369	357	357	-1	9999-12-31 23:00:00	0	-1	N	3461	0	OFF	RAMP	309	4	EMB	C	12	0	1	H	32>63	32	current
368	78001	2013-01-12 19:36:35	217369	357	-1	357	2013-01-12 19:44:50	217369	357	N	3461	1	RAMP	RAMP	78	1	HEC	A	29	0	1	EST2	1>8-ID=AF22	8	current
367	100015	2013-01-10 06:50:49	217093	173	-1	183	2013-01-10 07:00:10	217093	184	N	3459	0	OFF	OFF	100	15	EMEC	C	3	4	0	H	72>95	24	current
366	276011	2013-01-09 11:32:12	0	-1	-1	-1	9999-12-31 23:00:00	0	-1	N	3459	0	OFF	OFF	276	11	EMBPS	A	26	0	4	L	---------------	0	current
365	178014	2013-01-08 18:03:36	216956	55	55	-1	2013-01-08 18:48:06	0	-1	N	3459	0	OFF	OFF	178	14	HEC	C	30	0	2	EST1	9>24-ID=CF06	16	current
364	203010	2012-12-15 21:28:24	216416	170	-1	170	2012-12-15 21:28:39	216416	170	Y	3442	186	ON	ON	203	10	EMB	A	2	-1	3	H	0>31	32	current
363	166008	2012-12-10 13:50:48	216004	19	-1	76	2012-12-10 14:54:49	216004	83	N	3408	3	RAMP	RAMP	166	8	HEC	C	10	0	1	PAD2	1>8-ID=AF03	8	current
362	150010	2012-12-04 21:13:43	215571	321	-1	0	2012-12-04 23:13:55	0	0	Y	3374	1368	ON	ON	150	10	HEC	C	10	0	3	EST1	25>32-ID=AR06	8	current
359	65014	2012-12-03 04:56:34	215473	732	-1	732	2012-12-03 05:19:10	215473	757	Y	3363	1368	ON	ON	65	14	HEC	A	4	0	2	EST1	9>24-ID=AF19	16	current
361	119007	2012-12-03 04:47:22	215473	722	-1	722	2012-12-03 04:55:55	215473	731	Y	3363	1368	ON	ON	119	7	EMEC	C	5	4	4	L	72>95	24	current
358	171001	2012-12-03 00:19:04	215473	430	-1	432	2012-12-03 00:21:47	215473	434	Y	3363	1368	ON	ON	171	1	HEC	C	15	0	1	EST2	1>8-ID=AF12	8	current
360	165006	2012-12-02 09:25:03	215464	1008	-1	1009	2012-12-02 09:30:31	215464	1014	Y	3360	1368	ON	ON	165	6	HEC	C	3	0	2	EST1	9>24-ID=CF33	16	current
357	50005	2012-12-01 00:34:34	215433	398	-1	398	2012-12-01 00:43:33	215433	407	Y	3350	1368	ON	ON	50	5	HEC	A	9	0	4	EST2	33>40-ID=AR31	8	current
356	3011	2012-11-30 05:04:15	215414	259	-1	260	2012-11-30 05:15:41	215414	275	Y	3347	1368	ON	ON	3	11	EMEC	A	6	4	0	L	72>95	24	current
355	256012	2012-11-26 09:25:24	0	0	-1	-1	9999-12-31 23:00:00	0	0	N	3324	0	OFF	OFF	256	12	EMB	C	13	-1	5	L	0>31	32	current
354	256012	2012-11-26 09:19:46	0	0	-1	0	2012-11-26 09:24:03	0	0	N	3324	0	RAMP	OFF	256	12	EMB	C	13	-1	5	L	0>31	32	current
351	48009	2012-11-26 04:03:01	215091	632	-1	633	2012-11-26 04:05:55	215091	635	Y	3323	1368	ON	ON	48	9	HEC	A	2	0	3	EST2	25>32-ID=CR31	8	current
353	169014	2012-11-25 23:24:07	215091	350	-1	351	2012-11-25 23:31:10	215091	358	Y	3323	1368	ON	ON	169	14	HEC	C	8	0	2	EST1	9>24-ID=CF16	16	current
352	240012	2012-11-25 22:51:58	215091	316	-1	317	2012-11-25 23:10:37	215091	337	Y	3323	1368	ON	ON	240	12	EMB	C	5	-1	5	L	0>31	32	current
350	120004	2012-11-17 17:15:24	214680	1110	-1	-1	2012-11-17 17:15:35	214680	1112	Y	3296	1368	ON	ON	120	4	EMEC	C	1	1	5	H	0>23	24	new
349	158013	2012-11-15 21:25:51	214602	1	-1	1	2012-11-15 22:00:43	214602	21	N	3289	0	ON	ON	158	13	HEC	C	26	0	4	EST2	33>40-ID=CR13	8	current
348	158013	2012-11-14 05:04:31	214523	205	-1	205	2012-11-14 05:39:00	214523	242	Y	3286	1368	ON	ON	158	13	HEC	C	26	0	4	EST2	33>40-ID=CR13	8	current
347	148006	2012-11-12 01:10:01	214390	192	-1	192	2012-11-12 01:11:28	214390	193	Y	3279	1368	ON	ON	148	6	HEC	C	1	0	4	EST1	33>40-ID=CR01	8	current
346	72011	2012-11-11 22:42:32	214390	32	-1	33	2012-11-11 22:46:50	214390	38	Y	3279	1368	ON	ON	72	11	HEC	A	18	0	1	PAD1	1>8-ID=AF28	8	current
344	132003	2012-11-07 23:59:54	214160	729	-1	-1	2012-11-08 00:00:05	214160	730	Y	3269	1368	ON	ON	132	3	EMEC	C	0	4	7	H	12>15	4	new
345	4004	2012-11-07 19:05:34	214160	428	-1	431	2012-11-07 19:08:14	214160	431	Y	3269	1368	ON	ON	4	4	EMEC	A	1	1	1	H	0>23	24	current
